Numero do pedido;Data do pedido;Data de Entrega;Nome do produto;Valor produto;Tipo de pagamento;Nome do cliente;Nome da cidade;Nome do estado;Urgente
3;15/05/2016 00:00;30/05/2016 00:00;luvas;1200,00;MASTERCARD;LUVAS;LUVAS;LU;False
4;01/03/2009 14:44;01/03/2009 14:44;Kunai;1200;Selecione;Gouya;Echuca;Victoria;True
5;01/04/2009 20:11;01/04/2009 20:11;Shuriken;1200;Selecione;Fleur;Peoria                      ;IL;True
6;01/02/2009 20:09;01/02/2009 20:09;Shuriken;1200;Selecione;adam;Martin                      ;TN;True
7;01/04/2009 13:17;01/04/2009 13:17;Faca de Gaudério;1200;Selecione;Nunes;São Leopoldo;Rio Grande do Sul;True
8;01/04/2009 14:11;01/04/2009 14:11;Katana;1200;Selecione;Aidan;Chatou;Ile-de-France;True
9;01/05/2009 02:42;01/05/2009 02:42;Kunai;1200;Selecione;Stacy;New York                    ;NY;True
10;01/02/2009 09:16;01/02/2009 09:16;Kunai;1200;Selecione;Sean ;Shavano Park                ;TX;True
11;01/02/2009 14:18;01/02/2009 14:18;Shuriken;1200;Selecione;Richard;Riverside                   ;NJ;True
12;01/04/2009 01:05;01/04/2009 01:05;Kunai;1200;Selecione;Leanne;Julianstown;Meath;True
13;01/05/2009 11:37;01/05/2009 11:37;Shuriken;1200;Selecione;Janet;Ottawa;Ontario;True
14;01/02/2009 07:35;01/02/2009 07:35;Shuriken;1200;Selecione;Hani;Salt Lake City              ;UT;True
15;01/06/2009 12:56;01/06/2009 12:56;Katana;1200;Selecione;Jeremy;Manchester;England;True
16;01/01/2009 11:05;01/01/2009 11:05;Shuriken;1200;Selecione;Janis;Ballynora;Cork;True
17;01/05/2009 04:10;01/05/2009 04:10;Shuriken;1200;Selecione;Nicola;Roodepoort;Gauteng;True
18;01/06/2009 07:18;01/06/2009 07:18;Shuriken;1200;Selecione;asuman;Chula Vista                 ;CA;True
19;01/02/2009 01:11;01/02/2009 01:11;Shuriken;1200;Selecione;Lena;Kuopio;Ita-Suomen Laani;True
20;01/01/2009 02:24;01/01/2009 02:24;Shuriken;1200;Selecione;Lisa;Sugar Land                  ;TX;True
21;01/07/2009 08:08;01/07/2009 08:08;Shuriken;1200;Selecione;Bryan Kerrene;New York                    ;NY;True
22;01/02/2009 02:57;01/02/2009 02:57;Shuriken;1200;Selecione;chris;London;England;True
23;01/01/2009 20:21;01/01/2009 20:21;Shuriken;1200;Selecione;Maxine;Morton                      ;IL;True
24;01/08/2009 00:42;01/08/2009 00:42;Shuriken;1200;Selecione;Family;Los Gatos                   ;CA;True
25;01/08/2009 03:56;01/08/2009 03:56;Shuriken;1200;Selecione;Katherine;New York                    ;NY;True
26;01/08/2009 03:16;01/08/2009 03:16;Shuriken;1200;Selecione;Linda;Miami                       ;FL;True
27;01/08/2009 01:59;01/08/2009 01:59;Shuriken;1200;Selecione;SYLVIA;Vesenaz;Geneve;True
28;01/03/2009 09:03;01/03/2009 09:03;Shuriken;1200;Selecione;Sheila;Brooklyn                    ;NY;True
29;01/05/2009 13:17;01/05/2009 13:17;Shuriken;1200;Selecione;Stephanie;Badhoevedorp;Noord-Holland;True
30;01/06/2009 07:46;01/06/2009 07:46;Shuriken;1200;Selecione;Kelly;Reston                      ;VA;True
31;01/08/2009 16:24;01/08/2009 16:24;Shuriken;1200;Selecione;jennifer;Phoenix                     ;AZ;True
32;01/09/2009 06:39;01/09/2009 06:39;Shuriken;1200;Selecione;Anneli;Houston                     ;TX;True
33;01/07/2009 07:44;01/07/2009 07:44;Shuriken;1200;Selecione;Marie;Ball Ground                 ;GA;True
34;01/03/2009 13:24;01/03/2009 13:24;Shuriken;1200;Selecione;Mehmet Fatih;Helsingor;Frederiksborg;True
35;01/07/2009 20:15;01/07/2009 20:15;Shuriken;1200;Selecione;Nicole;Houston                     ;TX;True
36;01/09/2009 15:58;01/09/2009 15:58;Shuriken;1200;Selecione;Sari;Newbury;England;True
37;01/03/2009 13:11;01/03/2009 13:11;Shuriken;1200;Selecione;simone;Kobenhavn;Kobenhavn;True
38;01/10/2009 12:57;01/10/2009 12:57;Shuriken;1200;Selecione;Vanessa;Sandy Springs               ;GA;True
39;01/10/2009 14:43;01/10/2009 14:43;Shuriken;1200;Selecione;Anupam;Kinsaley;Dublin;True
40;01/10/2009 12:05;01/10/2009 12:05;Shuriken;1200;Selecione;Karina;Fort Lauderdale             ;FL;True
41;01/06/2009 01:20;01/06/2009 01:20;Shuriken;1200;Selecione;Frank;Melbourne;Victoria;True
42;01/10/2009 14:56;01/10/2009 14:56;Shuriken;1200;Selecione;Angela;Ankeny                      ;IA;True
43;01/07/2009 10:01;01/07/2009 10:01;Shuriken;1200;Selecione;Darren;Pittsboro                   ;NC;True
44;01/01/2009 01:26;01/01/2009 01:26;Shuriken;1200;Selecione;Nikki;New Rochelle                ;NY;True
45;01/11/2009 02:04;01/11/2009 02:04;Shuriken;1200;Selecione;chris;Gold Coast;Queensland;True
46;01/11/2009 14:17;01/11/2009 14:17;Shuriken;1200;Selecione;Stephanie;Brussels;Brussels (Bruxelles);True
47;01/10/2009 21:38;01/10/2009 21:38;Shuriken;1200;Selecione;Anushka;Maple Ridge District Municipality;British Columbia;True
48;01/07/2009 06:18;01/07/2009 06:18;Shuriken;1200;Selecione;June ;Beachwood                   ;OH;True
49;01/05/2009 00:31;01/05/2009 00:31;Shuriken;1200;Selecione;Bonnie;Saltsjobaden;Stockholm;True
50;01/02/2009 06:07;01/02/2009 06:07;Shuriken;1200;Selecione;Cindy ;Kemble;England;True
51;01/12/2009 03:25;01/12/2009 03:25;Shuriken;1200;Selecione;chrissy;W Lebanon                   ;NH;True
52;01/04/2009 13:56;01/04/2009 13:56;Shuriken;1200;Selecione;Tamar;Headley;England;True
53;01/12/2009 05:18;01/12/2009 05:18;Shuriken;1200;Selecione;Bernadett;Southampton;England;True
54;01/08/2009 15:16;01/08/2009 15:16;Shuriken;1200;Selecione;Dottie;Woodsboro                   ;MD;True
55;01/11/2009 11:33;01/11/2009 11:33;Shuriken;1200;Selecione;Stefan;Stavanger;Rogaland;True
56;01/07/2009 20:22;01/07/2009 20:22;Shuriken;1200;Selecione;Gina;Red Deer;Alberta;True
57;01/02/2009 22:00;01/02/2009 22:00;Shuriken;1200;Selecione;Lynne;Memphis                     ;TN;True
58;01/05/2009 13:52;01/05/2009 13:52;Shuriken;1200;Selecione;Tammy;Morges;Vaud;True
59;01/08/2009 20:32;01/08/2009 20:32;Shuriken;1200;Selecione;Kim;Calgary;Alberta;True
60;01/08/2009 13:34;01/08/2009 13:34;Shuriken;1200;Selecione;Bruce;Belleville;Ontario;True
61;01/11/2009 13:08;01/11/2009 13:08;Shuriken;1200;Selecione;Rosa Maria;Cincinnati                  ;OH;True
62;01/12/2009 19:04;01/12/2009 19:04;Shuriken;1000;Selecione;Lydia;Comox;British Columbia;True
63;01/12/2009 13:41;01/12/2009 13:41;Shuriken;1200;Selecione;Eric;Gasperich;Luxembourg;True
64;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Selecione;AnaPaula;Helens Bay;Northern Ireland;True
65;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Selecione;Robin;Milan;Lombardy;True
66;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Selecione;Gitte;Staten Island               ;NY;True
67;01/08/2009 13:14;01/08/2009 13:14;Shuriken;1200;Selecione;Dr. Claudia;Oslo;Oslo;True
68;01/02/2009 11:41;01/02/2009 11:41;Shuriken;1200;Selecione;Crystal;Farmington;Michigan;True
69;01/07/2009 19:50;01/07/2009 19:50;Shuriken;1200;Selecione;Delphine;Santa Monica                ;CA;True
70;01/01/2009 20:28;01/01/2009 20:28;Shuriken;1200;Selecione;nathalie;Calgary;Alberta;True
71;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Selecione;Lindi;Vancouver;British Columbia;True
72;01/11/2009 10:38;01/11/2009 10:38;Shuriken;1200;Selecione;Kevin;Cheltenham;England;True
73;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Selecione;Clare;Keller                      ;VA;True
74;01/02/2009 12:18;01/02/2009 12:18;Shuriken;1200;Selecione;Alice;Nakskov;Storstrom;True
75;01/03/2009 15:22;01/03/2009 15:22;Shuriken;1200;Selecione;ZENA;Honolulu                    ;HI;True
76;01/06/2009 17:15;01/06/2009 17:15;Shuriken;1200;Selecione;Andrea;Bubuieci;Chisinau;True
77;01/03/2009 13:56;01/03/2009 13:56;Shuriken;1200;Selecione;Rennae;Amelia Island               ;FL;True
78;01/04/2009 07:54;01/04/2009 07:54;Shuriken;1200;Selecione;Gerhard;Alliston;Ontario;True
